_index,_id,_version,_score,_source.agent.name,_source.agent.id,_source.data.srcip,_source.data.dstuser,_source.data.srcport,_source.rule.mail,_source.rule.level,_source.rule.hipaa,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.full_log,_source.id,_source.timestamp,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.manager.name,_source.decoder.parent,_source.decoder.name,_source.input.type,_source.@timestamp,_source.location,_source.GeoLocation.country_name,_source.GeoLocation.location.lon,_source.GeoLocation.location.lat,_source.data.protocol,_source.data.id,_source.data.url,_source.GeoLocation.region_name,_source.data.uid,_source.data.euid,_source.data.tty,_source.GeoLocation.city_name,_source.data.srcuser,_source.data.action,_source.agent.ip,_source.data.extra_data,_source.data.sca.scan_id,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.previous_result,_source.data.sca.check.compliance.cis_csc_v8,_source.data.sca.check.compliance.soc_2,_source.data.sca.check.compliance.pci_dss_4.0,_source.data.sca.check.compliance.pci_dss_3.2.1,_source.data.sca.check.compliance.mitre_tactics,_source.data.sca.check.compliance.mitre_techniques,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.cmmc_v2.0,_source.data.sca.check.compliance.iso_27001-2013,_source.data.sca.check.compliance.cis_csc_v7,_source.data.sca.check.compliance.mitre_mitigations,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.command,_source.data.sca.type,_source.data.sca.policy,_source.rule.cis_csc_v8,_source.rule.mitre_tactics,_source.rule.mitre_techniques,_source.rule.cis,_source.rule.iso_27001-2013,_source.rule.mitre_mitigations,_source.rule.soc_2,_source.rule.cis_csc_v7
wazuh-alerts-4.x-2024.07.21,fUG515ABvQ4GvBtkNE4T,1,1,localhost,000,194.124.75.19,root,49972,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",26,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",Jul 21 23:55:52 localhost sshd[71192]: Failed password for root from 194.124.75.19 port 49972 ssh2,1721606153.4860474,"Jul 21, 2024 @ 23:55:53.881",localhost,sshd,Jul 21 23:55:52,localhost,sshd,sshd,log,"Jul 21, 2024 @ 23:55:53.881",/var/log/auth.log,Italy,12.1097,43.1479, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,eUG515ABvQ4GvBtkJE5z,1,1,localhost,000,149.56.142.153, , ,false,5, ,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]",28, , , ,31101, ,"149.56.142.153 - - [21/Jul/2024:23:55:51 +0000] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 134 ""-"" ""python-requests/2.28.2""",1721606151.4858619,"Jul 21, 2024 @ 23:55:51.880", , , ,localhost, ,web-accesslog,log,"Jul 21, 2024 @ 23:55:51.880",/var/log/nginx/access.log,United States,-77.2481,38.6583,GET,404,/pma/scripts/setup.php,Virginia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,e0G515ABvQ4GvBtkKE5b,1,1,localhost,000,149.56.142.153, , ,false,6, ,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PHPMyAdmin scans (looking for setup.php).,"[""web"",""appsec"",""attack""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]",16,"[""File and Directory Discovery""]","[""T1083""]","[""Discovery""]",31515, ,"149.56.142.153 - - [21/Jul/2024:23:55:51 +0000] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 134 ""-"" ""python-requests/2.28.2""",1721606151.4859537,"Jul 21, 2024 @ 23:55:51.880", , , ,localhost, ,web-accesslog,log,"Jul 21, 2024 @ 23:55:51.880",/var/log/nginx/access.log,United States,-77.2481,38.6583,GET,404,/phpMyAdmin/scripts/setup.php,Virginia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,fEG515ABvQ4GvBtkKE5b,1,1,localhost,000,149.56.142.153, , ,false,5, ,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]",29, , , ,31101, ,"149.56.142.153 - - [21/Jul/2024:23:55:51 +0000] ""GET /MyAdmin/scripts/setup.php HTTP/1.1"" 404 134 ""-"" ""python-requests/2.28.2""",1721606151.4860013,"Jul 21, 2024 @ 23:55:51.880", , , ,localhost, ,web-accesslog,log,"Jul 21, 2024 @ 23:55:51.880",/var/log/nginx/access.log,United States,-77.2481,38.6583,GET,404,/MyAdmin/scripts/setup.php,Virginia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,dEG415ABvQ4GvBtk5U7x,1,1,localhost,000,45.77.56.176, , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",67,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]",Jul 21 23:55:33 localhost sshd[71189]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.77.56.176 ,1721606133.4856037,"Jul 21, 2024 @ 23:55:33.861",localhost,sshd,Jul 21 23:55:33,localhost, ,pam,log,"Jul 21, 2024 @ 23:55:33.861",/var/log/auth.log,United Kingdom,-0.0638,51.5128, , , ,England,0,0,ssh,London, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,ckG415ABvQ4GvBtk2k44,1,1,localhost,000,170.64.210.239, ,50436,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5"",""10.6.1""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: Attempt to login using a non-existent user,"[""syslog"",""sshd"",""authentication_failed"",""invalid_login""]","[""AU.14"",""AC.7"",""AU.6""]","[""IV_35.7.d"",""IV_32.2""]",86,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5710,"[""7.1""]",Jul 21 23:55:26 localhost sshd[71187]: Invalid user cisco from 170.64.210.239 port 50436,1721606127.4854978,"Jul 21, 2024 @ 23:55:27.854",localhost,sshd,Jul 21 23:55:26,localhost,sshd,sshd,log,"Jul 21, 2024 @ 23:55:27.854",/var/log/auth.log,United States,-97.822,37.751, , , , , , , , ,cisco, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,cEG415ABvQ4GvBtkn06f,1,1,localhost,000,64.227.156.216, , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5"",""10.6.1""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: Attempt to login using a non-existent user,"[""syslog"",""sshd"",""authentication_failed"",""invalid_login""]","[""AU.14"",""AC.7"",""AU.6""]","[""IV_35.7.d"",""IV_32.2""]",85,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5710,"[""7.1""]",Jul 21 23:55:15 localhost sshd[71185]: Failed password for invalid user sunsetsoft from 64.227.156.216 port 54102 ssh2,1721606115.4853924,"Jul 21, 2024 @ 23:55:15.841",localhost,sshd,Jul 21 23:55:15,localhost,sshd,sshd,log,"Jul 21, 2024 @ 23:55:15.841",/var/log/auth.log,United States,-84.3871,33.7485, , , ,Georgia, , , ,Atlanta,sunsetsoft, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,aEG315ABvQ4GvBtk5E4d,1,1,localhost,000,152.89.198.106, , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",64,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]",Jul 21 23:54:20 localhost sshd[71180]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=152.89.198.106 ,1721606061.4850759,"Jul 21, 2024 @ 23:54:21.797",localhost,sshd,Jul 21 23:54:20,localhost, ,pam,log,"Jul 21, 2024 @ 23:54:21.797",/var/log/auth.log,United Kingdom,-0.1224,51.4964, , , , ,0,0,ssh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,TkGz15ABvQ4GvBtkmk5o,1,1,localhost,000,134.209.29.80, ,57552,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5"",""10.6.1""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: Attempt to login using a non-existent user,"[""syslog"",""sshd"",""authentication_failed"",""invalid_login""]","[""AU.14"",""AC.7"",""AU.6""]","[""IV_35.7.d"",""IV_32.2""]",73,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5710,"[""7.1""]",Jul 21 23:49:38 localhost sshd[71120]: Invalid user valentino from 134.209.29.80 port 57552,1721605779.4828339,"Jul 21, 2024 @ 23:49:39.532",localhost,sshd,Jul 21 23:49:38,localhost,sshd,sshd,log,"Jul 21, 2024 @ 23:49:39.532",/var/log/auth.log,United Kingdom,-0.6658,51.5353, , , ,England, , , ,London,valentino, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.07.21,U0Gz15ABvQ4GvBtkmk5o,1,1,localhost,000,170.64.210.239, , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",60,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]",Jul 21 23:49:45 localhost sshd[71157]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=170.64.210.239 ,1721605785.4830921,"Jul 21, 2024 @ 23:49:45.535",localhost,sshd,Jul 21 23:49:45,localhost, ,pam,log,"Jul 21, 2024 @ 23:49:45.535",/var/log/auth.log,United States,-97.822,37.751, , , , ,0,0,ssh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
